blue,green,red,nir,swir1,swir2,blue_sd,green_sd,red_sd,nir_sd,swir1_sd,swir2_sd,NDWI,NDVI,NDTI,BR,GR,NBR,BG,MNDWI,pixelCount,clouds,pwater,qa,sat_5,sat_7,sat_8,type_Estuary,type_Facility,type_Lake,type_Stream,month_sin,month_cos,month_num
508.0,546.0,530.0,643.0,501.0,361.0,38.26486329929355,39.01750176250368,44.443579018530144,108.00474019840728,57.34105172577276,39.8728867852795,-0.0815811606391926,0.09633418584825235,-0.01486988847583643,0.9584905660377359,1.030188679245283,1.265748031496063,0.9304029304029304,0.04297994269340974,65,29.0,93.0,68.0,False,True,False,True,False,False,False,1.2246467991473532e-16,-1.0,6
354.0,365.0,252.0,124.0,30.0,15.0,38.778387197116146,52.248495915612615,54.03505327330139,18.307369098633764,25.25561628323794,44.2222734315596,0.49284253578732107,-0.3404255319148936,-0.18314424635332252,1.4047619047619047,1.4484126984126984,0.3502824858757062,0.9698630136986301,0.8481012658227848,13,11.0,99.0,68.0,False,True,False,True,False,False,False,-0.8660254037844386,0.5000000000000001,10
191.0,300.0,188.0,82.37804441260742,34.0,20.0,19.89144447087118,31.39217530341943,31.873869527772527,33.259488250324424,36.12862222324566,24.01152332841506,0.5691277487484774,-0.39064546019945817,-0.22950819672131148,1.0159574468085106,1.5957446808510638,0.43129866184611215,0.6366666666666667,0.7964071856287425,112,2.77,94.0,324.0,False,False,True,False,False,False,True,-0.8660254037844386,0.5000000000000001,10
528.9999999999999,811.0,753.9999999999999,309.0,79.0,43.99999999999999,38.27685453368762,33.618804982374364,35.580728881426126,50.180775602335075,81.32263023383335,62.75436818774927,0.44821428571428573,-0.41862652869237993,-0.03642172523961668,0.7015915119363395,1.0755968169761274,0.5841209829867676,0.6522811344019728,0.8224719101123595,136,0.0,94.0,68.0,True,False,False,False,False,False,True,0.49999999999999994,0.8660254037844387,1
426.00000000000006,545.0,359.0,526.0,66.0,48.0,21.773737439627663,19.28695816791994,21.031144072448697,44.1963275471203,34.76590150873186,34.57889723917384,0.017740429505135387,0.18870056497175142,-0.20575221238938052,1.1866295264623956,1.5181058495821727,1.2347417840375585,0.7816513761467891,0.7839607201309329,128,0.0,94.99999999999994,68.0,True,False,False,False,False,True,False,-0.8660254037844384,-0.5000000000000004,8
190.0,396.0,225.0,159.0,47.0,33.0,4.62295881216559,11.711199136882875,6.826392590237037,14.882028284776492,20.394368854106183,17.310690038071066,0.42702702702702705,-0.171875,-0.2753623188405797,0.8444444444444444,1.76,0.8368421052631579,0.4797979797979798,0.7878103837471784,62,9.86,92.0,324.0,False,False,True,False,False,True,False,-0.8660254037844384,-0.5000000000000004,8
404.0,587.0,393.0,198.0,50.0,78.0,46.311468099838045,62.451957990015856,67.27940639549918,51.166605008970905,66.34780320632107,56.87159779480503,0.49554140127388535,-0.3299492385786802,-0.19795918367346937,1.0279898218829517,1.4936386768447838,0.4900990099009901,0.6882453151618398,0.8430141287284144,76,16.0,99.0,68.0,True,False,False,False,False,True,False,0.49999999999999994,0.8660254037844387,1
410.0,394.0905299181859,280.99999999999983,122.0,14.999999999999996,37.99999999999999,42.29001807081492,52.08709923338064,40.94435614948039,24.958634860501583,45.02995255846435,58.17223247610206,0.5272147310304638,-0.39454094292803943,-0.16751905841708598,1.4590747330960863,1.4024574018440787,0.2975609756097561,1.0403700897992068,0.9266665986963821,137,44.0,99.0,68.0,True,False,False,False,False,False,True,-2.4492935982947064e-16,1.0,12
25.0,93.0,59.0,95.0,103.0,73.0,11.95679069608564,9.696769758532994,9.10678833343567,24.10904589049513,21.92173578893788,15.55722802269093,-0.010638297872340425,0.23376623376623376,-0.2236842105263158,0.423728813559322,1.576271186440678,3.8,0.26881720430107525,-0.05102040816326531,16,37.11,81.0,324.0,False,False,True,False,False,False,True,0.49999999999999994,0.8660254037844387,1
209.0,236.0,161.0,329.0,195.00000000000003,135.0,29.58316226265208,27.692688372005897,26.124139175205308,60.39760527863257,34.520065101097615,35.659466142455834,-0.16460176991150444,0.34285714285714286,-0.1889168765743073,1.2981366459627328,1.4658385093167703,1.5741626794258374,0.885593220338983,0.09512761020881665,89,15.0,94.0,68.0,True,False,False,True,False,False,False,-1.0,-1.8369701987210297e-16,9
149.99999999999997,191.99999999999997,123.0,64.0,52.99999999999999,42.0,21.30146805011253,23.17452962908658,19.72748486679308,21.547846495214195,28.64160399207339,27.7902648667979,0.49999999999999994,-0.3155080213903743,-0.21904761904761896,1.219512195121951,1.5609756097560974,0.42666666666666675,0.78125,0.5673469387755101,136,18.0,99.0,68.0,False,True,False,True,False,False,False,-1.0,-1.8369701987210297e-16,9
364.9999999999998,433.00000000000006,303.9999999999999,252.0,158.0,113.0,23.875901008366416,21.026250595958523,15.558146830524516,20.31522371206149,24.3845093360226,30.879577595218677,0.2642335766423359,-0.09352517985611493,-0.17503392130257825,1.2006578947368418,1.4243421052631586,0.69041095890411,0.8429561200923781,0.4653130287648055,141,26.0,99.0,68.0,True,False,False,False,False,False,True,0.49999999999999994,-0.8660254037844387,5
304.0,414.0,278.0,178.98684323673572,64.0,21.0,21.40418695701052,18.408234720807123,19.8225570869066,65.77828571779835,23.88917969655707,33.76910503085292,0.3963210304641463,-0.21666522401821509,-0.19653179190751446,1.0935251798561152,1.4892086330935252,0.588772510647157,0.7342995169082126,0.7322175732217573,136,26.0,98.0,68.0,True,False,False,True,False,False,False,-1.0,-1.8369701987210297e-16,9
323.0,411.0,281.0,93.0,20.01192686759034,25.999999999999993,28.1038411774821,24.723961275787023,28.519286861687387,18.70539014606581,37.35778720413733,34.91865635246611,0.6309523809523809,-0.5026737967914439,-0.18786127167630057,1.1494661921708185,1.4626334519572954,0.28792569659442724,0.7858880778588808,0.9071397999910192,139,35.0,99.0,68.0,False,True,False,True,False,False,False,0.8660254037844386,0.5000000000000001,2
512.0,534.0000000000001,318.0,121.0,51.99999999999999,31.0,19.563585546548033,17.237296659721547,16.45799583695166,13.547796707626324,15.67610221433634,25.76071872598983,0.6305343511450382,-0.44874715261959,-0.2535211267605635,1.610062893081761,1.6792452830188682,0.236328125,0.9588014981273406,0.8225255972696246,138,11.0,98.0,68.0,False,True,False,False,False,False,True,-0.4999999999999998,-0.8660254037844388,7
